empresa_id,nombre,emisiones_netas,regulacion_id,costo_impuesto,cumple_normativa
EMP000033,Empresa_33,9615.76,REG029620,187428.45,0
EMP000034,Empresa_34,15814.13,REG007043,359519.76,0
EMP000035,Empresa_35,8834.34,REG009011,103645.01,0
EMP000036,Empresa_36,8208.73,REG029620,156811.48,0
EMP000037,Empresa_37,11775.48,REG006127,181275.76,0
EMP000038,Empresa_38,2815.01,REG029620,39444.13,0
EMP000039,Empresa_39,6324.91,REG004617,76928.48,0
EMP000040,Empresa_40,-175.94,REG006127,0.0,1
EMP000041,Empresa_41,100.95,REG026381,0.0,1
EMP000042,Empresa_42,3243.08,REG024160,89635.92,0
EMP000043,Empresa_43,16256.7,REG024888,626571.72,0
EMP000044,Empresa_44,9759.74,REG006127,147350.86,0
EMP000045,Empresa_45,9954.52,REG026381,320341.56,0
EMP000046,Empresa_46,15344.56,REG008575,164723.01,0
EMP000047,Empresa_47,849.17,REG007333,0.0,1
EMP000048,Empresa_48,16485.61,REG004617,223750.59,0
EMP000049,Empresa_49,3386.15,REG007043,57892.69,0
EMP000050,Empresa_50,15328.68,REG024888,588457.94,0
EMP000051,Empresa_51,-6011.38,REG024888,0.0,1
EMP000052,Empresa_52,1679.68,REG007333,27043.42,0
EMP000053,Empresa_53,15431.06,REG024888,592662.69,0
EMP000054,Empresa_54,-2947.93,REG009011,0.0,1
EMP000055,Empresa_55,7516.14,REG029620,141740.72,0
EMP000056,Empresa_56,8741.34,REG026381,276933.98,0
EMP000057,Empresa_57,-7037.1,REG004617,0.0,1
EMP000058,Empresa_58,16609.52,REG009011,206510.64,0
EMP000059,Empresa_59,17870.56,REG007333,672411.89,0
EMP000060,Empresa_60,2442.01,REG008575,16343.69,0
EMP000061,Empresa_61,16414.26,REG007333,614363.77,0
EMP000062,Empresa_62,7968.47,REG006127,117203.78,0
EMP000063,Empresa_63,9331.96,REG007043,202197.5,0
EMP000064,Empresa_64,14510.28,REG008575,155128.79,0
EMP000065,Empresa_65,-7889.91,REG007043,0.0,1
EMP000066,Empresa_66,8084.62,REG004617,102356.29,0
EMP000067,Empresa_67,6919.59,REG026381,211751.76,0
EMP000068,Empresa_68,6835.42,REG026381,208740.16,0
EMP000069,Empresa_69,7073.06,REG006127,102134.03,0
EMP000070,Empresa_70,15744.3,REG007043,357824.99,0
EMP000071,Empresa_71,-1837.72,REG026381,0.0,1
EMP000072,Empresa_72,903.99,REG029620,0.0,1
EMP000073,Empresa_73,167.9,REG007333,0.0,1
EMP000074,Empresa_74,191.44,REG004617,0.0,1
EMP000075,Empresa_75,16900.65,REG029620,345947.66,0
EMP000076,Empresa_76,1062.17,REG024160,2464.95,0
EMP000077,Empresa_77,1617.21,REG007043,14960.51,0
EMP000078,Empresa_78,15743.75,REG006127,248061.75,0
EMP000079,Empresa_79,-2241.15,REG024160,0.0,1
EMP000080,Empresa_80,-7204.22,REG029620,0.0,1
EMP000081,Empresa_81,8377.86,REG006127,124093.82,0
EMP000082,Empresa_82,12323.28,REG007043,274796.83,0
EMP000083,Empresa_83,4139.04,REG026381,112263.69,0
EMP000084,Empresa_84,9811.59,REG004617,127311.0,0
EMP000085,Empresa_85,-150.52,REG026381,0.0,1
EMP000086,Empresa_86,11144.46,REG007333,404309.55,0
EMP000087,Empresa_87,10020.76,REG008575,103499.31,0
EMP000088,Empresa_88,-7347.94,REG004617,0.0,1
EMP000089,Empresa_89,-868.89,REG006127,0.0,1
EMP000090,Empresa_90,7245.71,REG007043,151564.21,0
EMP000091,Empresa_91,9857.78,REG006127,149000.87,0
EMP000092,Empresa_92,2762.46,REG024888,72363.29,0
EMP000093,Empresa_93,2178.47,REG004617,17012.42,0
EMP000094,Empresa_94,9482.31,REG024160,339017.95,0
EMP000095,Empresa_95,8281.87,REG024888,299045.46,0
EMP000096,Empresa_96,-194.67,REG026381,0.0,1
EMP000097,Empresa_97,14349.39,REG008575,153278.56,0
EMP000098,Empresa_98,7294.15,REG004617,90933.99,0
EMP000099,Empresa_99,-11038.8,REG004617,0.0,1
EMP000100,Empresa_100,13176.69,REG024888,500075.71,0
EMP000101,Empresa_101,-4681.09,REG009011,0.0,1
EMP000102,Empresa_102,7839.63,REG007333,272579.02,0
EMP000103,Empresa_103,11462.73,REG007043,253911.28,0
EMP000104,Empresa_104,13491.29,REG009011,165256.46,0
EMP000105,Empresa_105,12817.05,REG029620,257088.52,0
EMP000106,Empresa_106,5246.45,REG026381,151886.82,0
EMP000107,Empresa_107,83.26,REG009011,0.0,1
EMP000108,Empresa_108,3810.12,REG008575,32076.95,0
EMP000109,Empresa_109,-425.43,REG009011,0.0,1
EMP000110,Empresa_110,841.57,REG024888,0.0,1
EMP000111,Empresa_111,12806.49,REG007043,286524.34,0
EMP000112,Empresa_112,-3320.76,REG008575,0.0,1
EMP000113,Empresa_113,7140.01,REG026381,219638.39,0
EMP000114,Empresa_114,8489.97,REG029620,162931.26,0
EMP000115,Empresa_115,8055.74,REG024160,281997.94,0
EMP000116,Empresa_116,539.1,REG029620,0.0,1
EMP000117,Empresa_117,-9629.76,REG009011,0.0,1
EMP000118,Empresa_118,17925.79,REG026381,605553.6,0
EMP000119,Empresa_119,6186.59,REG008575,59406.36,0
EMP000120,Empresa_120,-2218.6,REG026381,0.0,1
EMP000121,Empresa_121,9759.19,REG009011,115880.78,0
EMP000122,Empresa_122,3576.76,REG026381,92145.31,0
EMP000123,Empresa_123,15667.75,REG004617,211932.51,0
EMP000124,Empresa_124,2550.28,REG009011,20506.9,0
EMP000125,Empresa_125,9725.87,REG009011,115439.95,0
EMP000126,Empresa_126,-2013.95,REG008575,0.0,1
EMP000127,Empresa_127,13215.31,REG006127,205508.1,0
EMP000128,Empresa_128,13549.32,REG006127,211129.49,0
EMP000129,Empresa_129,17164.75,REG008575,185655.2,0
EMP000130,Empresa_130,5496.87,REG024160,179719.91,0
EMP000131,Empresa_131,-5116.66,REG006127,0.0,1
EMP000132,Empresa_132,4419.32,REG009011,45234.3,0
EMP000133,Empresa_133,13467.24,REG006127,209748.08,0
EMP000134,Empresa_134,14272.46,REG029620,288758.25,0
EMP000135,Empresa_135,3372.18,REG026381,84825.44,0
EMP000136,Empresa_136,-4722.57,REG006127,0.0,1
EMP000137,Empresa_137,14720.89,REG009011,181524.07,0
EMP000138,Empresa_138,15416.87,REG007043,349878.26,0
EMP000139,Empresa_139,11279.89,REG004617,148527.94,0
EMP000140,Empresa_140,8543.73,REG007043,183067.15,0
EMP000141,Empresa_141,18157.09,REG004617,247903.48,0
EMP000142,Empresa_142,-3665.7,REG007333,0.0,1
EMP000143,Empresa_143,3007.34,REG007333,79963.94,0
EMP000144,Empresa_144,13224.63,REG029620,265957.47,0
EMP000145,Empresa_145,14782.69,REG026381,493093.48,0
EMP000146,Empresa_146,488.22,REG007333,0.0,1
EMP000147,Empresa_147,9892.63,REG007043,215804.96,0
EMP000148,Empresa_148,14621.24,REG009011,180205.7,0
EMP000149,Empresa_149,-4390.56,REG008575,0.0,1
EMP000150,Empresa_150,12393.76,REG008575,130788.81,0
EMP000151,Empresa_151,7953.84,REG024160,277925.0,0
EMP000152,Empresa_152,7232.55,REG024160,249095.04,0
EMP000153,Empresa_153,2900.48,REG007333,75704.5,0
EMP000154,Empresa_154,3525.63,REG006127,42430.79,0
EMP000155,Empresa_155,12156.22,REG006127,187683.62,0
EMP000156,Empresa_156,13635.18,REG004617,182561.88,0
EMP000157,Empresa_157,1136.37,REG007333,5387.08,0
EMP000158,Empresa_158,2666.12,REG009011,22039.46,0
EMP000159,Empresa_159,15530.41,REG004617,209947.95,0
EMP000160,Empresa_160,-3153.61,REG004617,0.0,1
EMP000161,Empresa_161,2307.37,REG029620,28397.89,0
EMP000162,Empresa_162,14819.0,REG006127,232498.2,0
EMP000163,Empresa_163,16389.85,REG024888,632040.19,0
EMP000164,Empresa_164,11851.11,REG008575,124548.34,0
EMP000165,Empresa_165,1030.84,REG029620,620.6,0
EMP000166,Empresa_166,-3248.97,REG009011,0.0,1
EMP000167,Empresa_167,-3403.48,REG024160,0.0,1
EMP000168,Empresa_168,8781.91,REG008575,89252.54,0
EMP000169,Empresa_169,19038.71,REG026381,645373.88,0
EMP000170,Empresa_170,10034.5,REG007043,219248.14,0
EMP000171,Empresa_171,-760.04,REG029620,0.0,1
EMP000172,Empresa_172,6516.2,REG006127,92762.08,0
EMP000173,Empresa_173,10786.95,REG007043,237510.1,0
EMP000174,Empresa_174,18132.64,REG007043,415790.0,0
EMP000175,Empresa_175,6937.91,REG006127,99859.46,0
EMP000176,Empresa_176,10828.29,REG008575,112785.91,0
EMP000177,Empresa_177,2937.66,REG026381,69278.31,0
EMP000178,Empresa_178,2041.04,REG029620,22602.55,0
EMP000179,Empresa_179,8442.01,REG004617,107520.57,0
EMP000180,Empresa_180,15453.46,REG006127,243176.17,0
EMP000181,Empresa_181,1287.29,REG024888,11778.05,0
EMP000182,Empresa_182,9482.05,REG004617,122549.15,0
EMP000183,Empresa_183,17327.24,REG007333,650755.16,0
EMP000184,Empresa_184,-3438.17,REG024160,0.0,1
EMP000185,Empresa_185,5337.69,REG029620,94337.65,0
EMP000186,Empresa_186,15426.35,REG007333,574985.68,0
EMP000187,Empresa_187,-6794.19,REG029620,0.0,1
EMP000188,Empresa_188,12248.05,REG006127,189229.11,0
EMP000189,Empresa_189,4526.06,REG007043,85558.3,0
EMP000190,Empresa_190,8884.68,REG024160,315130.67,0
EMP000191,Empresa_191,-4944.06,REG006127,0.0,1
EMP000192,Empresa_192,7708.44,REG026381,239976.82,0
EMP000193,Empresa_193,3617.56,REG004617,37807.27,0
EMP000194,Empresa_194,12705.98,REG024888,480743.65,0
EMP000195,Empresa_195,5810.38,REG007043,116728.75,0
EMP000196,Empresa_196,5439.87,REG026381,158807.38,0
EMP000197,Empresa_197,2964.2,REG007043,47651.96,0
EMP000198,Empresa_198,-3734.01,REG006127,0.0,1
EMP000199,Empresa_199,15193.06,REG006127,238793.63,0
EMP000200,Empresa_200,4181.36,REG024888,130637.51,0
EMP000201,Empresa_201,19202.07,REG007333,725485.88,0
EMP000202,Empresa_202,7036.74,REG026381,215943.39,0
EMP000203,Empresa_203,5016.96,REG008575,45955.61,0
EMP000204,Empresa_204,18955.95,REG029620,390670.99,0
EMP000205,Empresa_205,8908.71,REG004617,114264.39,0
EMP000206,Empresa_206,14546.07,REG008575,155540.38,0
EMP000207,Empresa_207,14720.7,REG007333,546858.47,0
EMP000208,Empresa_208,5887.51,REG009011,64658.45,0
EMP000209,Empresa_209,15578.62,REG026381,521571.86,0
EMP000210,Empresa_210,-1042.93,REG009011,0.0,1
EMP000211,Empresa_211,15450.3,REG008575,165939.02,0
EMP000212,Empresa_212,16268.91,REG024160,610278.35,0
EMP000213,Empresa_213,10364.4,REG007043,227254.81,0
EMP000214,Empresa_214,1323.14,REG004617,4652.9,0
EMP000215,Empresa_215,8056.81,REG006127,118690.55,0
EMP000216,Empresa_216,12713.65,REG007333,466857.46,0
EMP000217,Empresa_217,13153.02,REG008575,139520.3,0
EMP000218,Empresa_218,18880.37,REG024888,734325.85,0
EMP000219,Empresa_219,4259.87,REG007043,79097.87,0
EMP000220,Empresa_220,6917.87,REG024888,243025.98,0
EMP000221,Empresa_221,15261.57,REG004617,206063.21,0
EMP000222,Empresa_222,9951.59,REG024160,357775.07,0
EMP000223,Empresa_223,4338.83,REG024160,133433.05,0
EMP000224,Empresa_224,4614.99,REG004617,52220.13,0
EMP000225,Empresa_225,8077.71,REG009011,93634.8,0
EMP000226,Empresa_226,2672.1,REG004617,24145.37,0
EMP000227,Empresa_227,18403.31,REG004617,251461.36,0
EMP000228,Empresa_228,626.32,REG024888,0.0,1
EMP000229,Empresa_229,2702.8,REG008575,19342.77,0
EMP000230,Empresa_230,-4103.18,REG006127,0.0,1
EMP000231,Empresa_231,856.26,REG008575,0.0,1
EMP000232,Empresa_232,867.41,REG029620,0.0,1
EMP000233,Empresa_233,-1333.42,REG004617,0.0,1
EMP000234,Empresa_234,4248.22,REG008575,37115.1,0
EMP000235,Empresa_235,-773.91,REG024160,0.0,1
EMP000236,Empresa_236,8893.33,REG026381,282372.18,0
EMP000237,Empresa_237,956.65,REG026381,0.0,1
EMP000238,Empresa_238,6019.53,REG008575,57485.17,0
EMP000239,Empresa_239,702.83,REG007043,0.0,1
EMP000240,Empresa_240,17631.8,REG029620,361857.48,0
EMP000241,Empresa_241,7256.93,REG009011,82775.88,0
EMP000242,Empresa_242,4912.12,REG029620,85077.25,0
EMP000243,Empresa_243,-4816.02,REG029620,0.0,1
EMP000244,Empresa_244,9230.2,REG006127,138438.7,0
EMP000245,Empresa_245,13242.15,REG004617,176882.59,0
EMP000246,Empresa_246,13458.01,REG009011,164816.16,0
EMP000247,Empresa_247,7601.61,REG006127,111029.53,0
EMP000248,Empresa_248,962.93,REG004617,0.0,1
EMP000249,Empresa_249,13398.42,REG024160,495544.86,0
EMP000250,Empresa_250,4477.97,REG007043,84391.16,0
EMP000251,Empresa_251,2615.07,REG008575,18333.88,0
EMP000252,Empresa_252,8061.35,REG029620,153604.49,0
EMP000253,Empresa_253,5713.84,REG029620,102522.68,0
EMP000254,Empresa_254,18640.52,REG009011,233380.77,0
EMP000255,Empresa_255,4938.25,REG007333,156930.02,0
EMP000256,Empresa_256,-3630.81,REG024160,0.0,1
EMP000257,Empresa_257,17934.36,REG029620,368441.19,0
EMP000258,Empresa_258,9933.58,REG024888,366881.18,0
EMP000259,Empresa_259,11111.28,REG006127,170097.28,0
EMP000260,Empresa_260,-770.51,REG007043,0.0,1
EMP000261,Empresa_261,15080.14,REG007333,561185.75,0
EMP000262,Empresa_262,9140.16,REG007043,197542.51,0
EMP000263,Empresa_263,11248.68,REG007333,408463.76,0
EMP000264,Empresa_264,17184.07,REG008575,185877.38,0
EMP000265,Empresa_265,-4828.23,REG004617,0.0,1
EMP000266,Empresa_266,10627.29,REG006127,161951.72,0
EMP000267,Empresa_267,2959.84,REG006127,32908.54,0
EMP000268,Empresa_268,2221.29,REG008575,13805.41,0
EMP000269,Empresa_269,1104.81,REG026381,3698.94,0
EMP000270,Empresa_270,10296.59,REG004617,134319.25,0
EMP000271,Empresa_271,2272.93,REG009011,16837.56,0
EMP000272,Empresa_272,-4596.05,REG009011,0.0,1
EMP000273,Empresa_273,-2329.63,REG024888,0.0,1
EMP000274,Empresa_274,11353.63,REG006127,174176.03,0
EMP000275,Empresa_275,191.74,REG007333,0.0,1
EMP000276,Empresa_276,-2717.67,REG007043,0.0,1
EMP000277,Empresa_277,9703.5,REG024888,357431.8,0
EMP000278,Empresa_278,7718.78,REG007333,267761.94,0
EMP000279,Empresa_279,6087.66,REG007043,123458.33,0
EMP000280,Empresa_280,12746.49,REG026381,420238.25,0
EMP000281,Empresa_281,4901.75,REG008575,44630.7,0
EMP000282,Empresa_282,8105.89,REG029620,154573.68,0
EMP000283,Empresa_283,755.04,REG006127,0.0,1
EMP000284,Empresa_284,11929.56,REG004617,157915.67,0
EMP000285,Empresa_285,5248.96,REG006127,71434.43,0
EMP000286,Empresa_286,8752.47,REG004617,112006.72,0
EMP000287,Empresa_287,11571.79,REG029620,229991.67,0
EMP000288,Empresa_288,19337.07,REG024160,732912.7,0
EMP000289,Empresa_289,2224.6,REG029620,26596.81,0
EMP000290,Empresa_290,121.33,REG007333,0.0,1
EMP000291,Empresa_291,-4679.68,REG004617,0.0,1
EMP000292,Empresa_292,12219.78,REG008575,128788.04,0
EMP000293,Empresa_293,10412.76,REG007043,228428.51,0
EMP000294,Empresa_294,4387.73,REG024888,139113.13,0
EMP000295,Empresa_295,8726.97,REG024888,317325.71,0
EMP000296,Empresa_296,2449.07,REG008575,16424.88,0
EMP000297,Empresa_297,5239.52,REG007333,168938.64,0
EMP000298,Empresa_298,16728.79,REG004617,227264.54,0
EMP000299,Empresa_299,1263.32,REG006127,4356.11,0
EMP000300,Empresa_300,14445.09,REG007333,535872.66,0
EMP000301,Empresa_301,13263.27,REG024888,503631.55,0
EMP000302,Empresa_302,7178.89,REG029620,134402.16,0
EMP000303,Empresa_303,3156.81,REG026381,77119.5,0
EMP000304,Empresa_304,588.57,REG007043,0.0,1
EMP000305,Empresa_305,7069.81,REG026381,217126.64,0
EMP000306,Empresa_306,8576.9,REG009011,100239.08,0
EMP000307,Empresa_307,10165.58,REG024888,376409.42,0
EMP000308,Empresa_308,13609.6,REG024160,503985.73,0
EMP000309,Empresa_309,17332.47,REG008575,187583.98,0
EMP000310,Empresa_310,-2886.44,REG006127,0.0,1
EMP000311,Empresa_311,3770.36,REG009011,36648.56,0
EMP000312,Empresa_312,9612.65,REG024888,353700.59,0
EMP000313,Empresa_313,8673.59,REG026381,274509.88,0
EMP000314,Empresa_314,3693.43,REG009011,35630.77,0
EMP000315,Empresa_315,1371.86,REG026381,13253.99,0
EMP000316,Empresa_316,6308.04,REG007043,128806.96,0
EMP000317,Empresa_317,14603.8,REG024160,543723.9,0
EMP000318,Empresa_318,15327.34,REG007043,347705.37,0
EMP000319,Empresa_319,-1441.82,REG009011,0.0,1
EMP000320,Empresa_320,13415.7,REG009011,164256.4,0
EMP000321,Empresa_321,17167.02,REG026381,578404.81,0
EMP000322,Empresa_322,18012.94,REG007333,678087.16,0
EMP000323,Empresa_323,10956.01,REG026381,356174.87,0
EMP000324,Empresa_324,3631.34,REG008575,30020.98,0
EMP000325,Empresa_325,3078.92,REG029620,45186.82,0
EMP000326,Empresa_326,10089.98,REG007043,220594.64,0
EMP000327,Empresa_327,19643.92,REG007333,743098.02,0
EMP000328,Empresa_328,14818.61,REG007043,335358.49,0
EMP000329,Empresa_329,13320.75,REG029620,268049.04,0
EMP000330,Empresa_330,8188.91,REG007333,286501.32,0
EMP000331,Empresa_331,2453.98,REG004617,20993.54,0
EMP000332,Empresa_332,2847.2,REG024160,73812.6,0
EMP000333,Empresa_333,15412.12,REG007043,349762.98,0
EMP000334,Empresa_334,-3167.02,REG006127,0.0,1
EMP000335,Empresa_335,3413.73,REG006127,40547.51,0
EMP000336,Empresa_336,3885.5,REG029620,62738.0,0
EMP000337,Empresa_337,6764.45,REG029620,125383.95,0
EMP000338,Empresa_338,12482.47,REG029620,249808.06,0
EMP000339,Empresa_339,4114.44,REG024160,124464.18,0
EMP000340,Empresa_340,8164.25,REG008575,82149.45,0
EMP000341,Empresa_341,5078.83,REG008575,46667.12,0
EMP000342,Empresa_342,15614.35,REG009011,193344.54,0
EMP000343,Empresa_343,16268.53,REG007333,608554.98,0
EMP000344,Empresa_344,897.02,REG007043,0.0,1
EMP000345,Empresa_345,9463.73,REG004617,122284.43,0
EMP000346,Empresa_346,10547.6,REG026381,341561.96,0
EMP000347,Empresa_347,9368.07,REG024888,343655.69,0
EMP000348,Empresa_348,6402.32,REG024160,215910.75,0
EMP000349,Empresa_349,5926.96,REG006127,82845.17,0
EMP000350,Empresa_350,618.66,REG004617,0.0,1
EMP000351,Empresa_351,5213.7,REG007043,102247.33,0
EMP000352,Empresa_352,7816.28,REG004617,98478.77,0
EMP000353,Empresa_353,11016.24,REG007043,243074.97,0
EMP000354,Empresa_354,2771.34,REG026381,63327.38,0
EMP000355,Empresa_355,-1293.33,REG026381,0.0,1
EMP000356,Empresa_356,1771.68,REG006127,12911.81,0
EMP000357,Empresa_357,14667.96,REG029620,297364.33,0
EMP000358,Empresa_358,3381.14,REG007043,57771.09,0
EMP000359,Empresa_359,3961.97,REG024888,121627.16,0
EMP000360,Empresa_360,11759.8,REG006127,181011.87,0
EMP000361,Empresa_361,13034.26,REG007333,479636.97,0
EMP000362,Empresa_362,4504.24,REG024160,140044.49,0
EMP000363,Empresa_363,8230.95,REG007043,175475.98,0
EMP000364,Empresa_364,9624.39,REG024160,344696.88,0
EMP000365,Empresa_365,-682.37,REG006127,0.0,1
EMP000366,Empresa_366,725.33,REG029620,0.0,1
EMP000367,Empresa_367,-1528.42,REG007333,0.0,1
EMP000368,Empresa_368,18854.25,REG007043,433303.47,0
EMP000369,Empresa_369,16472.29,REG024888,635426.0,0
EMP000370,Empresa_370,3158.38,REG006127,36249.97,0
EMP000371,Empresa_371,3397.53,REG004617,34627.84,0
EMP000372,Empresa_372,4079.85,REG006127,51758.31,0
EMP000373,Empresa_373,14264.46,REG006127,223165.3,0
EMP000374,Empresa_374,13201.53,REG004617,176295.64,0
EMP000375,Empresa_375,4798.9,REG024160,151822.05,0
EMP000376,Empresa_376,4438.96,REG007043,83444.39,0
EMP000377,Empresa_377,5046.49,REG009011,53531.76,0
EMP000378,Empresa_378,10251.17,REG004617,133662.93,0
EMP000379,Empresa_379,5646.19,REG004617,67120.97,0
EMP000380,Empresa_380,1586.34,REG004617,8456.14,0
EMP000381,Empresa_381,3481.12,REG026381,88723.31,0
EMP000382,Empresa_382,92.72,REG009011,0.0,1
EMP000383,Empresa_383,3169.93,REG006127,36444.36,0
EMP000384,Empresa_384,13359.74,REG029620,268897.46,0
EMP000385,Empresa_385,15343.45,REG004617,207246.38,0
EMP000386,Empresa_386,16867.68,REG007043,385089.42,0
EMP000387,Empresa_387,16082.56,REG009011,199538.96,0
EMP000388,Empresa_388,5180.37,REG004617,60389.87,0
EMP000389,Empresa_389,-1120.09,REG009011,0.0,1
EMP000390,Empresa_390,6365.79,REG029620,116709.11,0
EMP000391,Empresa_391,3942.88,REG029620,63986.59,0
EMP000392,Empresa_392,4227.78,REG007333,128610.68,0
EMP000393,Empresa_393,-1989.62,REG007333,0.0,1
EMP000394,Empresa_394,-3483.01,REG008575,0.0,1
EMP000395,Empresa_395,3987.42,REG024888,122672.39,0
EMP000396,Empresa_396,11279.2,REG024888,422145.8,0
EMP000397,Empresa_397,12330.92,REG006127,190623.82,0
EMP000398,Empresa_398,16193.87,REG007333,605579.03,0
EMP000399,Empresa_399,11112.01,REG006127,170109.56,0
EMP000400,Empresa_400,3991.99,REG006127,50279.62,0
EMP000401,Empresa_401,2506.2,REG004617,21748.12,0
EMP000402,Empresa_402,6520.23,REG008575,63243.22,0
EMP000403,Empresa_403,3903.39,REG009011,38408.54,0
EMP000404,Empresa_404,10221.49,REG024160,368562.97,0
EMP000405,Empresa_405,1944.42,REG007333,37595.95,0
EMP000406,Empresa_406,3466.6,REG004617,35625.9,0
EMP000407,Empresa_407,-2927.84,REG024888,0.0,1
EMP000408,Empresa_408,9110.74,REG006127,136428.19,0
EMP000409,Empresa_409,5853.34,REG004617,70114.29,0
EMP000410,Empresa_410,8661.13,REG009011,101353.44,0
EMP000411,Empresa_411,6382.8,REG007043,130621.38,0
EMP000412,Empresa_412,2956.26,REG006127,32848.29,0
EMP000413,Empresa_413,7341.01,REG006127,106643.63,0
EMP000414,Empresa_414,6152.45,REG006127,86640.17,0
EMP000415,Empresa_415,2473.97,REG007043,35754.08,0
EMP000416,Empresa_416,2629.11,REG004617,23524.17,0
EMP000417,Empresa_417,4399.39,REG008575,38853.56,0
EMP000418,Empresa_418,-1906.68,REG006127,0.0,1
EMP000419,Empresa_419,8086.8,REG024888,291033.93,0
EMP000420,Empresa_420,9411.6,REG026381,300915.88,0
EMP000421,Empresa_421,11150.33,REG007043,246329.34,0
EMP000422,Empresa_422,2170.1,REG029620,25410.89,0
EMP000423,Empresa_423,1133.34,REG007043,3216.99,0
EMP000424,Empresa_424,11323.1,REG026381,369309.35,0
EMP000425,Empresa_425,10217.18,REG026381,329739.54,0
EMP000426,Empresa_426,1289.27,REG007333,11481.67,0
EMP000427,Empresa_427,-6906.85,REG024888,0.0,1
EMP000428,Empresa_428,6484.41,REG007333,218559.95,0
EMP000429,Empresa_429,1468.7,REG006127,7812.65,0
EMP000430,Empresa_430,4987.34,REG024888,163739.11,0
EMP000431,Empresa_431,7000.07,REG007333,239114.16,0
EMP000432,Empresa_432,14609.65,REG024160,543957.73,0
EMP000433,Empresa_433,3689.19,REG008575,30686.25,0
EMP000434,Empresa_434,5378.74,REG006127,73618.63,0
EMP000435,Empresa_435,10734.29,REG006127,163752.53,0
EMP000436,Empresa_436,3329.18,REG024160,93077.34,0
EMP000437,Empresa_437,13049.6,REG024888,494856.13,0
EMP000438,Empresa_438,15864.49,REG004617,214775.41,0
EMP000439,Empresa_439,19099.24,REG009011,239449.64,0
EMP000440,Empresa_440,10757.51,REG009011,129088.55,0
EMP000441,Empresa_441,4476.6,REG006127,58435.61,0
EMP000442,Empresa_442,4988.64,REG009011,52766.4,0
EMP000443,Empresa_443,17498.1,REG006127,277587.46,0
EMP000444,Empresa_444,14345.92,REG008575,153238.65,0
EMP000445,Empresa_445,14960.51,REG026381,499455.88,0
EMP000446,Empresa_446,18980.92,REG024888,738455.44,0
EMP000447,Empresa_447,11704.39,REG009011,141615.77,0
EMP000448,Empresa_448,-1147.06,REG024888,0.0,1
EMP000449,Empresa_449,13297.86,REG008575,141185.96,0
EMP000450,Empresa_450,2822.59,REG006127,30598.62,0
EMP000451,Empresa_451,5197.77,REG024160,167764.88,0
EMP000452,Empresa_452,-116.87,REG008575,0.0,1
EMP000453,Empresa_453,15715.72,REG026381,526477.3,0
EMP000454,Empresa_454,4593.15,REG008575,41081.8,0
EMP000455,Empresa_455,3962.22,REG026381,105937.07,0
EMP000456,Empresa_456,8348.08,REG024160,293682.77,0
EMP000457,Empresa_457,-4449.79,REG007043,0.0,1
EMP000458,Empresa_458,8300.53,REG007043,177164.69,0
EMP000459,Empresa_459,9893.11,REG024160,355437.62,0
EMP000460,Empresa_460,-3560.62,REG004617,0.0,1
EMP000461,Empresa_461,-194.65,REG004617,0.0,1
EMP000462,Empresa_462,12254.28,REG024888,462192.33,0
EMP000463,Empresa_463,15255.78,REG004617,205979.55,0
EMP000464,Empresa_464,12051.71,REG006127,185924.71,0
