empresa_id,tipo_energia,total_inversion,energia_generada_total,emisiones_evitadas_total,retorno_estimado
EMP000036,Biomasa,472.42,5745.01,396.68,1.1909
EMP000037,Biomasa,426.0,1530.24,692.89,0.6148
EMP000037,Geotérmica,206.16,573.12,746.0,0.2764
EMP000038,Biomasa,621.56,6240.55,4309.39,0.1442
EMP000038,Solar,147.3,8308.52,1060.35,0.1389
EMP000039,Solar,161.6,5749.91,189.04,0.8548
EMP000040,Biomasa,496.88,7559.21,4363.73,0.1139
EMP000040,Hidroeléctrica,425.45,5051.77,4617.65,0.0921
EMP000041,Solar,213.09,3214.36,1972.48,0.108
EMP000043,Geotérmica,237.25,2621.36,1715.79,0.1383
EMP000044,Biomasa,422.91,1028.06,921.02,0.4592
EMP000045,Geotérmica,13.12,6207.03,1018.87,0.0129
EMP000046,Geotérmica,123.89,7331.51,476.95,0.2598
EMP000046,Hidroeléctrica,166.57,8777.33,2401.06,0.0694
EMP000048,Biomasa,72.57,3258.51,835.51,0.0869
EMP000049,Geotérmica,452.65,1314.94,2200.99,0.2057
EMP000051,Biomasa,127.15,2355.33,3889.01,0.0327
EMP000051,Hidroeléctrica,232.8,2160.47,4478.7,0.052
EMP000052,Geotérmica,127.5,1747.29,4926.24,0.0259
EMP000052,Hidroeléctrica,458.5,2944.72,3593.74,0.1276
EMP000054,Geotérmica,217.88,8731.03,1683.07,0.1295
EMP000054,Hidroeléctrica,59.62,2875.19,3586.7,0.0166
EMP000055,Eólica,473.53,5233.27,3196.15,0.1482
EMP000055,Geotérmica,465.1,1293.79,3288.91,0.1414
EMP000056,Geotérmica,205.77,7358.06,3398.82,0.0605
EMP000057,Hidroeléctrica,726.14,16087.73,8039.25,0.0903
EMP000061,Solar,105.32,2685.17,1939.75,0.0543
EMP000062,Biomasa,784.74,13306.77,1860.83,0.4217
EMP000064,Biomasa,495.55,7699.45,891.51,0.5559
EMP000064,Hidroeléctrica,457.54,444.35,2911.81,0.1571
EMP000065,Biomasa,351.35,1060.62,4191.79,0.0838
EMP000065,Eólica,473.01,2494.25,4283.76,0.1104
EMP000065,Solar,27.19,924.29,1648.65,0.0165
EMP000067,Hidroeléctrica,175.64,3523.65,691.22,0.2541
EMP000068,Hidroeléctrica,348.42,3700.66,209.53,1.6629
EMP000068,Solar,395.97,6078.06,1198.85,0.3303
EMP000069,Eólica,136.44,4956.51,934.83,0.146
EMP000070,Hidroeléctrica,468.11,156.53,2739.6,0.1709
EMP000071,Biomasa,462.45,4703.77,1516.59,0.3049
EMP000071,Hidroeléctrica,469.81,4418.19,2577.64,0.1823
EMP000073,Geotérmica,169.42,4500.91,3967.88,0.0427
EMP000074,Biomasa,56.34,3267.35,1442.99,0.039
EMP000074,Eólica,272.3,6779.46,3768.71,0.0723
EMP000076,Solar,111.89,562.14,4240.67,0.0264
EMP000077,Eólica,10.6,3155.97,4400.34,0.0024
EMP000079,Eólica,173.7,6020.54,606.04,0.2866
EMP000079,Solar,427.96,16121.4,7523.04,0.0569
EMP000080,Biomasa,252.15,2336.18,2726.68,0.0925
EMP000080,Geotérmica,659.07,11088.35,4626.78,0.1424
EMP000080,Solar,267.12,4504.63,3504.61,0.0762
EMP000081,Geotérmica,209.94,636.18,79.17,2.6518
EMP000082,Biomasa,496.19,7312.98,574.87,0.8631
EMP000082,Geotérmica,410.12,9097.8,1387.37,0.2956
EMP000082,Solar,405.16,9931.59,3764.57,0.1076
EMP000085,Geotérmica,418.15,6711.05,1058.16,0.3952
EMP000086,Eólica,265.58,6794.82,2127.12,0.1249
EMP000088,Biomasa,538.57,8269.53,3714.32,0.145
EMP000088,Geotérmica,374.8,5341.17,4168.86,0.0899
EMP000089,Hidroeléctrica,126.25,7943.9,1695.89,0.0744
EMP000089,Solar,339.98,8835.93,131.84,2.5787
EMP000090,Solar,575.41,13636.22,931.81,0.6175
EMP000091,Solar,381.11,9244.9,3130.97,0.1217
EMP000092,Eólica,146.38,2271.99,2966.09,0.0494
EMP000093,Hidroeléctrica,269.93,7674.46,797.66,0.3384
EMP000094,Geotérmica,36.91,2143.26,3883.28,0.0095
EMP000094,Hidroeléctrica,363.62,558.13,2304.51,0.1578
EMP000095,Eólica,138.83,2244.87,4685.19,0.0296
EMP000095,Hidroeléctrica,398.32,6918.06,167.95,2.3717
EMP000096,Hidroeléctrica,368.28,6922.43,4661.54,0.079
EMP000097,Eólica,83.22,5642.27,2019.84,0.0412
EMP000099,Biomasa,255.53,5767.13,4755.7,0.0537
EMP000099,Hidroeléctrica,486.08,6410.97,3662.48,0.1327
EMP000099,Solar,140.25,7655.01,3858.08,0.0364
EMP000101,Eólica,58.09,1237.82,3601.87,0.0161
EMP000101,Geotérmica,240.04,3743.3,4984.48,0.0482
EMP000102,Solar,112.66,69.2,4464.96,0.0252
EMP000104,Eólica,266.84,3634.25,4583.03,0.0582
EMP000105,Biomasa,536.82,10412.04,6105.76,0.0879
EMP000106,Biomasa,354.82,4774.61,4852.17,0.0731
EMP000108,Solar,281.51,2666.88,4373.09,0.0644
EMP000109,Solar,78.8,9433.66,702.24,0.1122
EMP000110,Biomasa,935.86,15784.31,2803.9,0.3338
EMP000111,Hidroeléctrica,375.0,1050.98,4822.37,0.0778
EMP000112,Geotérmica,438.12,3900.71,3547.63,0.1235
EMP000112,Solar,313.35,8534.83,3937.8,0.0796
EMP000115,Geotérmica,205.96,6256.39,1800.79,0.1144
EMP000116,Solar,275.08,12580.56,6402.71,0.043
EMP000117,Eólica,68.93,9164.11,2610.87,0.0264
EMP000117,Hidroeléctrica,458.35,15360.75,8058.64,0.0569
EMP000118,Biomasa,63.15,5569.57,1040.86,0.0607
EMP000119,Biomasa,14.52,6176.93,1750.31,0.0083
EMP000120,Biomasa,392.02,1513.66,4098.34,0.0957
EMP000122,Biomasa,19.14,5694.16,4879.25,0.0039
EMP000122,Eólica,221.08,2312.8,937.73,0.2358
EMP000124,Eólica,422.83,9591.7,475.73,0.8888
EMP000125,Eólica,448.25,5057.98,2336.1,0.1919
EMP000126,Eólica,225.17,4789.02,2432.85,0.0926
EMP000126,Hidroeléctrica,406.41,6364.38,2786.75,0.1458
EMP000127,Eólica,162.18,1477.81,379.67,0.4272
EMP000129,Eólica,286.17,9940.13,2822.21,0.1014
EMP000130,Solar,370.37,3496.62,2485.44,0.149
EMP000131,Biomasa,312.41,4767.77,2537.85,0.1231
EMP000131,Hidroeléctrica,30.61,2684.46,3941.96,0.0078
EMP000131,Solar,273.96,6677.27,3109.74,0.0881
EMP000132,Eólica,325.13,7337.42,3124.18,0.1041
EMP000136,Geotérmica,645.01,10534.33,4832.37,0.1335
EMP000136,Hidroeléctrica,3.0,3975.68,326.8,0.0092
EMP000138,Eólica,399.45,6296.29,1758.94,0.2271
EMP000138,Hidroeléctrica,217.44,3994.82,262.33,0.8289
EMP000141,Geotérmica,97.52,8973.33,54.8,1.7796
EMP000142,Hidroeléctrica,380.11,4612.51,4223.82,0.09
EMP000143,Eólica,12.56,751.14,825.49,0.0152
EMP000143,Geotérmica,34.02,4221.8,2920.78,0.0116
EMP000148,Eólica,57.78,1952.13,144.73,0.3992
EMP000149,Biomasa,284.42,5692.06,8816.78,0.0323
EMP000150,Eólica,483.84,8440.05,5009.33,0.0966
EMP000152,Eólica,436.93,8229.28,181.4,2.4087
EMP000153,Biomasa,162.71,2163.98,3197.63,0.0509
EMP000153,Eólica,285.33,3753.27,144.57,1.9736
EMP000154,Solar,269.02,7404.92,1208.12,0.2227
EMP000155,Biomasa,126.67,1304.85,4912.7,0.0258
EMP000155,Eólica,450.06,2296.15,2368.86,0.19
EMP000157,Eólica,117.49,9147.27,3682.52,0.0319
EMP000160,Biomasa,6.87,3614.27,3202.62,0.0021
EMP000161,Biomasa,23.87,4277.15,1243.57,0.0192
EMP000162,Solar,291.76,7100.41,2264.25,0.1289
EMP000163,Biomasa,8.09,5120.96,2872.56,0.0028
EMP000164,Hidroeléctrica,206.06,5179.52,3712.55,0.0555
EMP000165,Biomasa,142.13,1468.45,1336.07,0.1064
EMP000166,Solar,391.82,6617.91,4706.54,0.0833
EMP000167,Eólica,202.89,3220.68,3623.22,0.056
EMP000167,Hidroeléctrica,324.68,4382.85,1640.32,0.1979
EMP000167,Solar,266.38,1751.23,31.73,8.3952
EMP000168,Geotérmica,338.09,2564.66,2779.02,0.1217
EMP000168,Hidroeléctrica,495.77,10194.4,6645.11,0.0746
EMP000170,Solar,334.86,5232.0,4985.24,0.0672
EMP000171,Biomasa,148.94,9560.59,2560.63,0.0582
EMP000173,Eólica,417.67,4747.44,1484.83,0.2813
EMP000175,Biomasa,388.29,6564.33,3825.99,0.1015
EMP000176,Eólica,817.77,11152.96,6611.88,0.1237
EMP000177,Geotérmica,391.86,725.7,2306.61,0.1699
EMP000178,Geotérmica,98.7,6705.44,804.01,0.1228
EMP000178,Hidroeléctrica,477.93,7738.28,2433.96,0.1964
EMP000180,Biomasa,204.97,1439.87,3049.08,0.0672
EMP000184,Geotérmica,435.14,1575.39,4363.84,0.0997
EMP000184,Hidroeléctrica,311.51,1296.59,658.23,0.4733
EMP000187,Eólica,224.99,6602.05,4135.39,0.0544
EMP000187,Solar,324.23,9180.34,3367.72,0.0963
EMP000188,Eólica,393.96,7473.19,2757.46,0.1429
EMP000188,Hidroeléctrica,268.88,9112.59,519.48,0.5176
EMP000189,Hidroeléctrica,67.23,7174.79,293.71,0.2289
EMP000190,Geotérmica,33.54,7980.66,4160.96,0.0081
EMP000191,Geotérmica,394.74,4478.95,2992.32,0.1319
EMP000191,Hidroeléctrica,439.15,6741.38,2359.22,0.1861
EMP000191,Solar,259.01,4257.01,2041.32,0.1269
EMP000193,Hidroeléctrica,113.7,6311.88,902.63,0.126
EMP000195,Hidroeléctrica,133.97,9887.64,2163.56,0.0619
EMP000195,Solar,460.03,8818.94,3986.86,0.1154
EMP000196,Biomasa,57.81,6283.29,3879.76,0.0149
EMP000196,Hidroeléctrica,208.56,5334.13,1688.82,0.1235
EMP000196,Solar,451.33,8381.07,358.3,1.2596
EMP000198,Hidroeléctrica,367.82,8226.14,3752.87,0.098
EMP000202,Biomasa,416.91,6240.93,4580.73,0.091
EMP000203,Geotérmica,162.4,7316.02,917.53,0.177
EMP000204,Biomasa,56.35,2618.01,51.36,1.0972
EMP000206,Geotérmica,145.78,1919.79,3242.09,0.045
EMP000206,Solar,31.85,3301.87,2094.03,0.0152
EMP000209,Solar,124.32,2270.12,2727.31,0.0456
EMP000210,Eólica,105.52,100.75,4413.06,0.0239
EMP000210,Hidroeléctrica,26.7,5232.87,1172.16,0.0228
EMP000210,Solar,166.16,6058.25,382.44,0.4345
EMP000211,Geotérmica,423.68,9018.92,2109.9,0.2008
EMP000212,Geotérmica,444.86,9132.61,1101.64,0.4038
EMP000213,Biomasa,490.85,6535.84,1219.81,0.4024
EMP000214,Biomasa,371.74,3043.4,515.43,0.7212
EMP000215,Hidroeléctrica,957.53,10869.7,8096.61,0.1183
EMP000217,Geotérmica,832.74,7044.56,4721.01,0.1764
EMP000217,Solar,375.86,3686.19,335.01,1.1219
EMP000219,Geotérmica,263.56,5846.84,3602.29,0.0732
EMP000219,Hidroeléctrica,300.34,4186.86,3625.84,0.0828
EMP000220,Biomasa,304.37,9168.59,3507.86,0.0868
EMP000221,Eólica,263.43,3366.22,820.34,0.3211
EMP000221,Solar,357.93,2832.68,1573.69,0.2274
EMP000222,Biomasa,380.64,9923.96,4893.69,0.0778
EMP000222,Geotérmica,237.89,8953.17,1926.46,0.1235
EMP000223,Biomasa,402.71,6301.22,1666.05,0.2417
EMP000224,Biomasa,666.39,8907.98,8377.11,0.0795
EMP000224,Geotérmica,478.2,140.52,1791.37,0.2669
EMP000228,Solar,429.6,4315.41,4621.67,0.093
EMP000229,Geotérmica,130.73,1653.02,698.93,0.187
EMP000230,Biomasa,227.87,5304.51,317.9,0.7168
EMP000230,Eólica,64.07,9203.94,4637.5,0.0138
EMP000230,Hidroeléctrica,307.36,6164.42,979.84,0.3137
EMP000230,Solar,496.81,2369.28,4528.37,0.1097
EMP000231,Biomasa,352.75,3873.38,1028.14,0.3431
EMP000231,Eólica,50.81,6613.33,4412.26,0.0115
EMP000232,Eólica,42.77,2005.27,802.26,0.0533
EMP000232,Geotérmica,364.36,7644.05,4567.63,0.0798
EMP000232,Solar,114.73,6032.01,4532.18,0.0253
EMP000233,Eólica,449.38,6938.77,2077.55,0.2163
EMP000233,Geotérmica,173.08,868.46,3513.2,0.0493
EMP000233,Solar,245.4,6740.5,3878.07,0.0633
EMP000235,Eólica,291.87,8873.88,5812.31,0.0502
EMP000236,Eólica,101.06,2874.82,212.85,0.4748
EMP000237,Eólica,215.39,1440.31,4608.25,0.0467
EMP000238,Solar,214.41,4589.27,2371.46,0.0904
EMP000239,Solar,254.52,9048.4,4431.01,0.0574
EMP000241,Hidroeléctrica,23.79,590.8,4061.03,0.0059
EMP000243,Eólica,327.2,501.18,4661.82,0.0702
EMP000243,Hidroeléctrica,136.66,2271.73,2945.99,0.0464
EMP000244,Geotérmica,271.23,2622.17,3385.34,0.0801
EMP000244,Solar,276.55,9973.69,4715.23,0.0587
EMP000245,Geotérmica,415.76,5551.26,5549.55,0.0749
EMP000246,Biomasa,108.95,9144.61,779.16,0.1398
EMP000246,Eólica,701.19,16144.27,2147.04,0.3266
EMP000246,Solar,539.16,5280.61,655.13,0.823
EMP000247,Eólica,173.18,5498.94,1931.81,0.0896
EMP000248,Solar,17.69,3260.4,3140.25,0.0056
EMP000250,Solar,188.86,1431.28,1427.53,0.1323
EMP000252,Biomasa,69.28,605.4,339.61,0.204
EMP000252,Eólica,486.36,7979.16,4803.15,0.1013
EMP000253,Geotérmica,27.95,9057.51,3763.29,0.0074
EMP000255,Eólica,218.16,5706.63,39.68,5.498
EMP000255,Solar,237.05,248.01,2894.5,0.0819
EMP000256,Biomasa,347.19,7666.34,4516.54,0.0769
EMP000258,Geotérmica,198.56,7830.82,4715.51,0.0421
EMP000258,Hidroeléctrica,248.47,8585.37,4228.47,0.0588
EMP000259,Geotérmica,94.77,8587.97,383.27,0.2473
EMP000259,Solar,38.22,2244.79,3307.19,0.0116
EMP000260,Biomasa,10.62,5316.53,4511.21,0.0024
EMP000260,Hidroeléctrica,472.51,1636.44,1771.64,0.2667
EMP000261,Hidroeléctrica,492.64,7580.26,975.44,0.505
EMP000262,Solar,355.09,6357.24,1205.37,0.2946
EMP000263,Hidroeléctrica,315.82,4480.66,4817.52,0.0656
EMP000265,Geotérmica,99.79,2875.14,4904.14,0.0203
EMP000266,Geotérmica,384.46,9146.86,341.28,1.1265
EMP000267,Biomasa,193.54,363.07,3501.63,0.0553
EMP000267,Solar,317.15,8697.77,1598.53,0.1984
EMP000270,Geotérmica,220.45,4295.14,1059.58,0.2081
EMP000271,Biomasa,120.53,1324.1,34.79,3.4645
EMP000272,Geotérmica,133.63,2703.95,1968.22,0.0679
EMP000272,Hidroeléctrica,85.13,5639.39,3724.24,0.0229
EMP000273,Biomasa,214.12,6686.06,4564.82,0.0469
EMP000273,Geotérmica,493.86,7691.18,1732.26,0.2851
EMP000274,Solar,448.14,6282.05,4417.61,0.1014
EMP000275,Hidroeléctrica,138.09,4124.64,4271.05,0.0323
EMP000275,Solar,295.42,15260.15,1986.21,0.1487
EMP000276,Eólica,342.68,5834.41,3083.76,0.1111
EMP000276,Hidroeléctrica,315.74,6832.36,4336.54,0.0728
EMP000276,Solar,376.87,9246.59,2167.75,0.1739
EMP000278,Solar,797.94,9608.24,2953.48,0.2702
EMP000279,Eólica,404.78,6742.81,859.9,0.4707
EMP000279,Geotérmica,378.41,9647.74,3774.27,0.1003
EMP000281,Hidroeléctrica,111.09,5642.58,3144.93,0.0353
EMP000281,Solar,182.4,361.76,4327.36,0.0422
EMP000282,Geotérmica,138.67,1849.92,2062.13,0.0672
EMP000284,Biomasa,181.8,2090.58,3663.8,0.0496
EMP000285,Biomasa,141.67,4447.76,1411.38,0.1004
EMP000286,Biomasa,115.68,394.01,4625.58,0.025
EMP000286,Solar,393.29,4075.83,1205.66,0.3262
EMP000289,Biomasa,343.33,4254.77,3608.31,0.0951
EMP000291,Biomasa,544.94,11981.8,5456.77,0.0999
EMP000291,Eólica,199.98,420.62,4681.83,0.0427
EMP000292,Geotérmica,463.08,1242.75,1476.1,0.3137
EMP000293,Eólica,114.64,2910.3,4563.29,0.0251
EMP000294,Solar,378.22,993.68,4274.79,0.0885
EMP000296,Geotérmica,477.93,3423.09,966.25,0.4946
EMP000300,Eólica,87.99,6695.41,545.7,0.1612
EMP000305,Solar,48.09,6726.97,2573.97,0.0187
EMP000306,Biomasa,395.29,7048.24,4597.35,0.086
EMP000306,Solar,600.74,7150.24,4905.15,0.1225
EMP000307,Biomasa,345.18,6014.86,312.26,1.1054
EMP000307,Geotérmica,462.94,7864.92,292.55,1.5824
EMP000308,Biomasa,433.77,2282.98,2001.23,0.2168
EMP000310,Biomasa,470.27,14279.52,4606.97,0.1021
EMP000310,Hidroeléctrica,434.96,13926.74,4399.17,0.0989
EMP000311,Solar,218.47,1916.26,1918.7,0.1139
EMP000312,Geotérmica,113.55,3218.35,3041.19,0.0373
EMP000314,Biomasa,182.77,9028.09,772.58,0.2366
EMP000314,Eólica,402.42,119.53,751.31,0.5356
EMP000315,Geotérmica,159.1,2813.68,3299.63,0.0482
EMP000316,Biomasa,48.4,4018.5,3095.9,0.0156
EMP000316,Hidroeléctrica,325.68,7178.57,485.89,0.6703
EMP000317,Biomasa,452.77,854.15,3536.9,0.128
EMP000318,Geotérmica,283.36,8761.42,3429.07,0.0826
EMP000319,Geotérmica,75.48,5049.3,3238.5,0.0233
EMP000321,Hidroeléctrica,85.28,2352.99,1808.37,0.0472
EMP000321,Solar,454.92,3564.57,528.14,0.8614
EMP000323,Biomasa,484.34,6270.48,828.2,0.5848
EMP000323,Hidroeléctrica,397.67,8765.65,7213.72,0.0551
EMP000324,Eólica,183.78,627.08,4608.13,0.0399
EMP000324,Solar,240.08,5253.05,3693.04,0.065
EMP000328,Hidroeléctrica,115.72,3910.91,3262.33,0.0355
EMP000328,Solar,297.68,1408.87,220.02,1.353
EMP000329,Biomasa,370.72,91.57,1970.21,0.1882
EMP000331,Geotérmica,100.29,6756.11,1393.14,0.072
EMP000334,Biomasa,189.24,19084.26,5443.76,0.0348
EMP000336,Eólica,386.37,6589.88,2050.12,0.1885
EMP000337,Eólica,242.67,3937.37,1011.34,0.2399
EMP000340,Biomasa,70.71,4590.59,2604.26,0.0272
EMP000344,Geotérmica,639.25,3134.1,4349.7,0.147
EMP000345,Biomasa,276.58,3173.21,3311.14,0.0835
EMP000345,Hidroeléctrica,176.09,1193.82,72.35,2.4339
EMP000347,Eólica,100.66,8071.1,1436.49,0.0701
EMP000350,Eólica,412.13,5259.55,662.43,0.6221
EMP000350,Hidroeléctrica,103.94,1055.43,4686.35,0.0222
EMP000350,Solar,115.16,6016.8,3224.49,0.0357
EMP000353,Eólica,174.51,7371.26,322.67,0.5408
EMP000355,Biomasa,399.11,4968.98,2928.91,0.1363
EMP000356,Biomasa,41.53,923.49,2256.01,0.0184
EMP000357,Hidroeléctrica,83.68,8420.46,4590.47,0.0182
EMP000357,Solar,365.44,6015.01,554.23,0.6594
EMP000358,Hidroeléctrica,296.01,6730.46,262.77,1.1265
EMP000360,Hidroeléctrica,355.67,7281.06,1737.38,0.2047
EMP000361,Eólica,161.55,5422.7,1946.29,0.083
EMP000361,Solar,198.09,7193.03,3921.44,0.0505
EMP000362,Eólica,60.63,7031.47,328.36,0.1846
EMP000362,Hidroeléctrica,399.4,8454.58,2817.11,0.1418
EMP000362,Solar,31.02,4895.53,4219.17,0.0074
EMP000363,Geotérmica,104.28,3956.39,1761.47,0.0592
EMP000365,Eólica,261.02,6844.94,2575.07,0.1014
EMP000366,Eólica,128.64,1043.24,1950.96,0.0659
EMP000367,Eólica,627.9,13021.94,5151.67,0.1219
EMP000368,Geotérmica,313.8,3912.23,382.37,0.8207
EMP000370,Biomasa,158.56,6538.35,751.25,0.2111
EMP000370,Hidroeléctrica,17.66,5319.77,1894.49,0.0093
EMP000372,Eólica,167.56,7259.15,4102.46,0.0408
EMP000372,Hidroeléctrica,345.6,5347.26,3353.0,0.1031
EMP000374,Solar,483.58,6488.33,550.34,0.8787
EMP000375,Solar,328.65,4614.02,4699.41,0.0699
EMP000377,Eólica,99.73,2543.72,4492.05,0.0222
EMP000377,Hidroeléctrica,404.35,4049.79,221.08,1.829
EMP000378,Hidroeléctrica,349.65,3872.75,7348.45,0.0476
EMP000380,Solar,333.53,2452.5,3932.85,0.0848
EMP000382,Hidroeléctrica,244.65,567.65,3928.52,0.0623
EMP000383,Biomasa,412.21,4853.42,4258.24,0.0968
EMP000387,Geotérmica,166.79,6718.96,715.63,0.2331
EMP000388,Geotérmica,229.78,8354.04,778.8,0.295
EMP000388,Hidroeléctrica,120.68,9731.78,4600.58,0.0262
EMP000389,Biomasa,74.59,5230.16,116.55,0.64
EMP000389,Hidroeléctrica,371.49,1760.49,4417.7,0.0841
EMP000390,Solar,499.24,6823.14,3175.28,0.1572
EMP000392,Biomasa,26.39,5609.93,3130.81,0.0084
EMP000392,Solar,235.22,8832.56,3431.62,0.0685
EMP000393,Geotérmica,144.62,9465.58,4231.43,0.0342
EMP000393,Hidroeléctrica,120.7,5247.38,2738.93,0.0441
EMP000394,Hidroeléctrica,179.94,4219.84,2507.8,0.0718
EMP000394,Solar,347.2,1322.1,2012.18,0.1725
EMP000395,Biomasa,30.29,9235.6,2372.7,0.0128
EMP000397,Geotérmica,273.1,3782.24,902.42,0.3026
EMP000401,Biomasa,391.4,262.45,1754.24,0.2231
EMP000401,Hidroeléctrica,223.27,4964.81,3475.55,0.0642
EMP000401,Solar,359.27,6159.57,279.54,1.2852
EMP000402,Geotérmica,271.58,7636.06,2731.61,0.0994
EMP000403,Geotérmica,314.29,9712.4,4919.45,0.0639
EMP000404,Eólica,48.34,9572.72,4831.53,0.01
EMP000404,Solar,71.19,3151.59,1314.16,0.0542
EMP000405,Biomasa,374.4,4750.13,302.96,1.2358
EMP000405,Eólica,112.88,9858.26,388.59,0.2905
EMP000406,Eólica,118.34,9376.83,625.48,0.1892
EMP000406,Geotérmica,64.64,1169.19,4387.17,0.0147
EMP000407,Geotérmica,440.52,5399.73,1412.94,0.3118
EMP000407,Solar,319.2,7831.7,5507.18,0.058
EMP000408,Solar,17.71,9170.69,911.88,0.0194
EMP000410,Hidroeléctrica,27.41,4806.7,2288.34,0.012
EMP000411,Hidroeléctrica,229.68,8537.81,4031.59,0.057
EMP000416,Solar,416.05,7416.12,3081.65,0.135
EMP000418,Biomasa,328.75,7420.67,4969.05,0.0662
EMP000419,Biomasa,312.85,6717.28,4701.36,0.0665
EMP000421,Biomasa,421.13,3591.9,1925.5,0.2187
EMP000422,Biomasa,473.92,9185.79,3031.21,0.1563
EMP000423,Eólica,156.62,3699.98,3568.55,0.0439
EMP000423,Solar,143.6,5543.43,1648.61,0.0871
EMP000424,Geotérmica,268.55,4039.25,3796.69,0.0707
EMP000425,Biomasa,403.52,7905.04,3037.16,0.1329
EMP000425,Geotérmica,284.29,7778.02,1760.42,0.1615
EMP000427,Eólica,384.69,3404.29,3790.29,0.1015
EMP000427,Hidroeléctrica,436.8,9227.74,4466.91,0.0978
EMP000428,Biomasa,493.64,3336.98,2313.85,0.2133
EMP000428,Hidroeléctrica,261.55,8364.32,7875.67,0.0332
EMP000430,Solar,341.55,6694.33,1437.8,0.2376
EMP000431,Geotérmica,28.47,1150.98,1043.37,0.0273
EMP000433,Biomasa,67.94,1116.5,613.3,0.1108
EMP000433,Eólica,27.77,5321.1,3572.93,0.0078
EMP000435,Geotérmica,109.32,2023.56,257.15,0.4251
EMP000435,Solar,296.08,4307.75,3257.83,0.0909
EMP000436,Hidroeléctrica,151.73,479.42,4705.24,0.0322
EMP000437,Eólica,317.75,7197.16,686.81,0.4626
EMP000442,Biomasa,114.55,7885.85,564.78,0.2028
EMP000444,Eólica,156.6,1568.17,3047.63,0.0514
EMP000444,Hidroeléctrica,410.99,7720.96,2508.28,0.1639
EMP000445,Solar,257.12,4561.57,3688.2,0.0697
EMP000447,Hidroeléctrica,427.52,3810.64,3859.43,0.1108
EMP000448,Biomasa,1.84,3007.58,1763.73,0.001
EMP000448,Geotérmica,12.6,5126.06,2467.28,0.0051
EMP000450,Solar,144.02,567.37,4929.85,0.0292
EMP000452,Hidroeléctrica,233.78,1139.47,1569.13,0.149
EMP000454,Hidroeléctrica,180.38,3325.2,206.13,0.8751
EMP000455,Hidroeléctrica,228.58,15741.38,7164.74,0.0319
EMP000456,Hidroeléctrica,426.07,8852.5,2722.94,0.1565
EMP000457,Biomasa,352.19,13354.0,5058.85,0.0696
EMP000457,Geotérmica,59.89,4128.01,29.61,2.0226
EMP000460,Biomasa,437.5,8862.98,4837.33,0.0904
EMP000461,Eólica,226.79,6776.24,4228.89,0.0536
EMP000462,Eólica,317.38,4699.69,420.71,0.7544
